name,transform,n,mean_distance,normalized_distance,recall
whash_default,blur,5,0.8,0.0125,1.0
whash_default,brightness_0.8,5,0.8,0.0125,1.0
whash_default,brightness_1.2,5,0.4,0.00625,1.0
whash_default,crop,5,12.0,0.1875,0.6
whash_default,gaussian_noise,5,3.6,0.05625,1.0
whash_default,jpeg_30,5,0.8,0.0125,1.0
whash_default,jpeg_50,5,1.2,0.01875,1.0
whash_default,jpeg_70,5,0.6,0.009375,1.0
whash_default,rotate_+10,5,15.2,0.2375,0.6
whash_default,rotate_+5,5,13.4,0.209375,0.6
whash_default,rotate_-10,5,16.8,0.2625,0.6
whash_default,rotate_-5,5,13.6,0.2125,0.6
whash_default,salt_pepper,5,6.2,0.096875,0.8
whash_default,scale_0.8,5,0.8,0.0125,1.0
whash_default,scale_1.2,5,0.6,0.009375,1.0
whash_haar_L1_8,blur,5,2.0,0.03125,1.0
whash_haar_L1_8,brightness_0.8,5,0.0,0.0,1.0
whash_haar_L1_8,brightness_1.2,5,0.4,0.00625,1.0
whash_haar_L1_8,crop,5,10.8,0.16875,0.6
whash_haar_L1_8,gaussian_noise,5,5.2,0.08125,0.8
whash_haar_L1_8,jpeg_30,5,0.8,0.0125,1.0
whash_haar_L1_8,jpeg_50,5,0.8,0.0125,1.0
whash_haar_L1_8,jpeg_70,5,0.8,0.0125,1.0
whash_haar_L1_8,rotate_+10,5,13.0,0.203125,0.4
whash_haar_L1_8,rotate_+5,5,13.0,0.203125,0.6
whash_haar_L1_8,rotate_-10,5,16.2,0.253125,0.2
whash_haar_L1_8,rotate_-5,5,13.8,0.215625,0.4
whash_haar_L1_8,salt_pepper,5,6.0,0.09375,0.8
whash_haar_L1_8,scale_0.8,5,0.4,0.00625,1.0
whash_haar_L1_8,scale_1.2,5,0.0,0.0,1.0
whash_haar_L1_16,blur,5,4.0,0.015625,1.0
whash_haar_L1_16,brightness_0.8,5,0.4,0.0015625,1.0
whash_haar_L1_16,brightness_1.2,5,0.4,0.0015625,1.0
whash_haar_L1_16,crop,5,45.6,0.178125,0.8
whash_haar_L1_16,gaussian_noise,5,25.2,0.0984375,0.8
whash_haar_L1_16,jpeg_30,5,4.2,0.01640625,1.0
whash_haar_L1_16,jpeg_50,5,1.2,0.0046875,1.0
whash_haar_L1_16,jpeg_70,5,1.6,0.00625,1.0
whash_haar_L1_16,rotate_+10,5,57.2,0.2234375,0.6
whash_haar_L1_16,rotate_+5,5,43.4,0.16953125,1.0
whash_haar_L1_16,rotate_-10,5,58.4,0.228125,0.6
whash_haar_L1_16,rotate_-5,5,45.0,0.17578125,1.0
whash_haar_L1_16,salt_pepper,5,31.6,0.1234375,0.8
whash_haar_L1_16,scale_0.8,5,0.4,0.0015625,1.0
whash_haar_L1_16,scale_1.2,5,0.4,0.0015625,1.0
whash_haar_L2_8,blur,5,2.0,0.03125,1.0
whash_haar_L2_8,brightness_0.8,5,0.0,0.0,1.0
whash_haar_L2_8,brightness_1.2,5,0.4,0.00625,1.0
whash_haar_L2_8,crop,5,10.8,0.16875,0.6
whash_haar_L2_8,gaussian_noise,5,5.2,0.08125,0.8
whash_haar_L2_8,jpeg_30,5,0.8,0.0125,1.0
whash_haar_L2_8,jpeg_50,5,0.8,0.0125,1.0
whash_haar_L2_8,jpeg_70,5,0.8,0.0125,1.0
whash_haar_L2_8,rotate_+10,5,13.0,0.203125,0.4
whash_haar_L2_8,rotate_+5,5,13.0,0.203125,0.6
whash_haar_L2_8,rotate_-10,5,16.2,0.253125,0.2
whash_haar_L2_8,rotate_-5,5,13.8,0.215625,0.4
whash_haar_L2_8,salt_pepper,5,6.0,0.09375,0.8
whash_haar_L2_8,scale_0.8,5,0.4,0.00625,1.0
whash_haar_L2_8,scale_1.2,5,0.0,0.0,1.0
whash_haar_L2_16,blur,5,4.0,0.015625,1.0
whash_haar_L2_16,brightness_0.8,5,0.4,0.0015625,1.0
whash_haar_L2_16,brightness_1.2,5,0.4,0.0015625,1.0
whash_haar_L2_16,crop,5,45.6,0.178125,0.8
whash_haar_L2_16,gaussian_noise,5,25.2,0.0984375,0.8
whash_haar_L2_16,jpeg_30,5,4.2,0.01640625,1.0
whash_haar_L2_16,jpeg_50,5,1.2,0.0046875,1.0
whash_haar_L2_16,jpeg_70,5,1.6,0.00625,1.0
whash_haar_L2_16,rotate_+10,5,57.2,0.2234375,0.6
whash_haar_L2_16,rotate_+5,5,43.4,0.16953125,1.0
whash_haar_L2_16,rotate_-10,5,58.4,0.228125,0.6
whash_haar_L2_16,rotate_-5,5,45.0,0.17578125,1.0
whash_haar_L2_16,salt_pepper,5,31.6,0.1234375,0.8
whash_haar_L2_16,scale_0.8,5,0.4,0.0015625,1.0
whash_haar_L2_16,scale_1.2,5,0.4,0.0015625,1.0
whash_haar_L3_8,blur,5,2.0,0.03125,1.0
whash_haar_L3_8,brightness_0.8,5,0.0,0.0,1.0
whash_haar_L3_8,brightness_1.2,5,0.4,0.00625,1.0
whash_haar_L3_8,crop,5,10.8,0.16875,0.6
whash_haar_L3_8,gaussian_noise,5,5.2,0.08125,0.8
whash_haar_L3_8,jpeg_30,5,0.8,0.0125,1.0
whash_haar_L3_8,jpeg_50,5,0.8,0.0125,1.0
whash_haar_L3_8,jpeg_70,5,0.8,0.0125,1.0
whash_haar_L3_8,rotate_+10,5,13.0,0.203125,0.4
whash_haar_L3_8,rotate_+5,5,13.0,0.203125,0.6
whash_haar_L3_8,rotate_-10,5,16.2,0.253125,0.2
whash_haar_L3_8,rotate_-5,5,13.8,0.215625,0.4
whash_haar_L3_8,salt_pepper,5,6.0,0.09375,0.8
whash_haar_L3_8,scale_0.8,5,0.4,0.00625,1.0
whash_haar_L3_8,scale_1.2,5,0.0,0.0,1.0
whash_haar_L3_16,blur,5,4.0,0.015625,1.0
whash_haar_L3_16,brightness_0.8,5,0.4,0.0015625,1.0
whash_haar_L3_16,brightness_1.2,5,0.4,0.0015625,1.0
whash_haar_L3_16,crop,5,45.6,0.178125,0.8
whash_haar_L3_16,gaussian_noise,5,25.2,0.0984375,0.8
whash_haar_L3_16,jpeg_30,5,4.2,0.01640625,1.0
whash_haar_L3_16,jpeg_50,5,1.2,0.0046875,1.0
whash_haar_L3_16,jpeg_70,5,1.6,0.00625,1.0
whash_haar_L3_16,rotate_+10,5,57.2,0.2234375,0.6
whash_haar_L3_16,rotate_+5,5,43.4,0.16953125,1.0
whash_haar_L3_16,rotate_-10,5,58.4,0.228125,0.6
whash_haar_L3_16,rotate_-5,5,45.0,0.17578125,1.0
whash_haar_L3_16,salt_pepper,5,31.6,0.1234375,0.8
whash_haar_L3_16,scale_0.8,5,0.4,0.0015625,1.0
whash_haar_L3_16,scale_1.2,5,0.4,0.0015625,1.0
whash_haar_L4_8,blur,5,2.0,0.03125,1.0
whash_haar_L4_8,brightness_0.8,5,0.0,0.0,1.0
whash_haar_L4_8,brightness_1.2,5,0.4,0.00625,1.0
whash_haar_L4_8,crop,5,10.8,0.16875,0.6
whash_haar_L4_8,gaussian_noise,5,5.2,0.08125,0.8
whash_haar_L4_8,jpeg_30,5,0.8,0.0125,1.0
whash_haar_L4_8,jpeg_50,5,0.8,0.0125,1.0
whash_haar_L4_8,jpeg_70,5,0.8,0.0125,1.0
whash_haar_L4_8,rotate_+10,5,13.0,0.203125,0.4
whash_haar_L4_8,rotate_+5,5,13.0,0.203125,0.6
whash_haar_L4_8,rotate_-10,5,16.2,0.253125,0.2
whash_haar_L4_8,rotate_-5,5,13.8,0.215625,0.4
whash_haar_L4_8,salt_pepper,5,6.0,0.09375,0.8
whash_haar_L4_8,scale_0.8,5,0.4,0.00625,1.0
whash_haar_L4_8,scale_1.2,5,0.0,0.0,1.0
whash_haar_L4_16,blur,5,4.0,0.015625,1.0
whash_haar_L4_16,brightness_0.8,5,0.4,0.0015625,1.0
whash_haar_L4_16,brightness_1.2,5,0.4,0.0015625,1.0
whash_haar_L4_16,crop,5,45.6,0.178125,0.8
whash_haar_L4_16,gaussian_noise,5,25.2,0.0984375,0.8
whash_haar_L4_16,jpeg_30,5,4.2,0.01640625,1.0
whash_haar_L4_16,jpeg_50,5,1.2,0.0046875,1.0
whash_haar_L4_16,jpeg_70,5,1.6,0.00625,1.0
whash_haar_L4_16,rotate_+10,5,57.2,0.2234375,0.6
whash_haar_L4_16,rotate_+5,5,43.4,0.16953125,1.0
whash_haar_L4_16,rotate_-10,5,58.4,0.228125,0.6
whash_haar_L4_16,rotate_-5,5,45.0,0.17578125,1.0
whash_haar_L4_16,salt_pepper,5,31.6,0.1234375,0.8
whash_haar_L4_16,scale_0.8,5,0.4,0.0015625,1.0
whash_haar_L4_16,scale_1.2,5,0.4,0.0015625,1.0
whash_db2_L1_8,blur,5,1.2,0.01875,1.0
whash_db2_L1_8,brightness_0.8,5,0.0,0.0,1.0
whash_db2_L1_8,brightness_1.2,5,0.0,0.0,1.0
whash_db2_L1_8,crop,5,11.2,0.175,0.6
whash_db2_L1_8,gaussian_noise,5,5.6,0.0875,0.8
whash_db2_L1_8,jpeg_30,5,0.8,0.0125,1.0
whash_db2_L1_8,jpeg_50,5,0.8,0.0125,1.0
whash_db2_L1_8,jpeg_70,5,0.4,0.00625,1.0
whash_db2_L1_8,rotate_+10,5,13.6,0.2125,0.6
whash_db2_L1_8,rotate_+5,5,13.0,0.203125,0.6
whash_db2_L1_8,rotate_-10,5,15.6,0.24375,0.6
whash_db2_L1_8,rotate_-5,5,13.8,0.215625,0.8
whash_db2_L1_8,salt_pepper,5,6.8,0.10625,0.8
whash_db2_L1_8,scale_0.8,5,0.0,0.0,1.0
whash_db2_L1_8,scale_1.2,5,0.0,0.0,1.0
whash_db2_L1_16,blur,5,5.2,0.0203125,1.0
whash_db2_L1_16,brightness_0.8,5,0.4,0.0015625,1.0
whash_db2_L1_16,brightness_1.2,5,0.4,0.0015625,1.0
whash_db2_L1_16,crop,5,44.4,0.1734375,1.0
whash_db2_L1_16,gaussian_noise,5,24.0,0.09375,0.8
whash_db2_L1_16,jpeg_30,5,2.4,0.009375,1.0
whash_db2_L1_16,jpeg_50,5,2.8,0.0109375,1.0
whash_db2_L1_16,jpeg_70,5,2.0,0.0078125,1.0
whash_db2_L1_16,rotate_+10,5,55.6,0.2171875,1.0
whash_db2_L1_16,rotate_+5,5,43.2,0.16875,1.0
whash_db2_L1_16,rotate_-10,5,58.4,0.228125,1.0
whash_db2_L1_16,rotate_-5,5,45.8,0.17890625,1.0
whash_db2_L1_16,salt_pepper,5,32.0,0.125,0.8
whash_db2_L1_16,scale_0.8,5,0.8,0.003125,1.0
whash_db2_L1_16,scale_1.2,5,0.4,0.0015625,1.0
whash_db2_L2_8,blur,5,1.6,0.025,1.0
whash_db2_L2_8,brightness_0.8,5,0.4,0.00625,1.0
whash_db2_L2_8,brightness_1.2,5,0.0,0.0,1.0
whash_db2_L2_8,crop,5,9.2,0.14375,0.8
whash_db2_L2_8,gaussian_noise,5,5.6,0.0875,0.8
whash_db2_L2_8,jpeg_30,5,0.8,0.0125,1.0
whash_db2_L2_8,jpeg_50,5,0.8,0.0125,1.0
whash_db2_L2_8,jpeg_70,5,0.4,0.00625,1.0
whash_db2_L2_8,rotate_+10,5,15.8,0.246875,0.6
whash_db2_L2_8,rotate_+5,5,15.2,0.2375,0.6
whash_db2_L2_8,rotate_-10,5,17.0,0.265625,0.6
whash_db2_L2_8,rotate_-5,5,12.0,0.1875,0.6
whash_db2_L2_8,salt_pepper,5,5.6,0.0875,0.8
whash_db2_L2_8,scale_0.8,5,0.0,0.0,1.0
whash_db2_L2_8,scale_1.2,5,0.0,0.0,1.0
whash_db2_L2_16,blur,5,8.0,0.03125,1.0
whash_db2_L2_16,brightness_0.8,5,0.4,0.0015625,1.0
whash_db2_L2_16,brightness_1.2,5,0.4,0.0015625,1.0
whash_db2_L2_16,crop,5,50.0,0.1953125,0.6
whash_db2_L2_16,gaussian_noise,5,24.4,0.0953125,0.8
whash_db2_L2_16,jpeg_30,5,4.0,0.015625,1.0
whash_db2_L2_16,jpeg_50,5,4.2,0.01640625,1.0
whash_db2_L2_16,jpeg_70,5,3.4,0.01328125,1.0
whash_db2_L2_16,rotate_+10,5,61.8,0.24140625,0.6
whash_db2_L2_16,rotate_+5,5,46.2,0.18046875,0.8
whash_db2_L2_16,rotate_-10,5,57.8,0.22578125,0.8
whash_db2_L2_16,rotate_-5,5,46.8,0.1828125,0.8
whash_db2_L2_16,salt_pepper,5,30.4,0.11875,0.8
whash_db2_L2_16,scale_0.8,5,0.4,0.0015625,1.0
whash_db2_L2_16,scale_1.2,5,0.4,0.0015625,1.0
whash_db2_L3_8,blur,5,0.4,0.00625,1.0
whash_db2_L3_8,brightness_0.8,5,0.8,0.0125,1.0
whash_db2_L3_8,brightness_1.2,5,0.0,0.0,1.0
whash_db2_L3_8,crop,5,10.8,0.16875,0.8
whash_db2_L3_8,gaussian_noise,5,4.0,0.0625,0.8
whash_db2_L3_8,jpeg_30,5,0.8,0.0125,1.0
whash_db2_L3_8,jpeg_50,5,0.4,0.00625,1.0
whash_db2_L3_8,jpeg_70,5,0.4,0.00625,1.0
whash_db2_L3_8,rotate_+10,5,15.8,0.246875,0.6
whash_db2_L3_8,rotate_+5,5,12.4,0.19375,0.6
whash_db2_L3_8,rotate_-10,5,15.8,0.246875,0.6
whash_db2_L3_8,rotate_-5,5,12.2,0.190625,0.6
whash_db2_L3_8,salt_pepper,5,6.0,0.09375,0.8
whash_db2_L3_8,scale_0.8,5,0.4,0.00625,1.0
whash_db2_L3_8,scale_1.2,5,0.0,0.0,1.0
whash_db2_L3_16,blur,5,3.2,0.0125,1.0
whash_db2_L3_16,brightness_0.8,5,0.0,0.0,1.0
whash_db2_L3_16,brightness_1.2,5,0.8,0.003125,1.0
whash_db2_L3_16,crop,5,56.6,0.22109375,0.8
whash_db2_L3_16,gaussian_noise,5,23.0,0.08984375,1.0
whash_db2_L3_16,jpeg_30,5,2.4,0.009375,1.0
whash_db2_L3_16,jpeg_50,5,1.2,0.0046875,1.0
whash_db2_L3_16,jpeg_70,5,1.6,0.00625,1.0
whash_db2_L3_16,rotate_+10,5,64.4,0.2515625,0.6
whash_db2_L3_16,rotate_+5,5,42.6,0.16640625,1.0
whash_db2_L3_16,rotate_-10,5,65.8,0.25703125,0.8
whash_db2_L3_16,rotate_-5,5,46.2,0.18046875,1.0
whash_db2_L3_16,salt_pepper,5,29.0,0.11328125,1.0
whash_db2_L3_16,scale_0.8,5,0.8,0.003125,1.0
whash_db2_L3_16,scale_1.2,5,0.4,0.0015625,1.0
whash_db2_L4_8,blur,5,2.0,0.03125,1.0
whash_db2_L4_8,brightness_0.8,5,0.4,0.00625,1.0
whash_db2_L4_8,brightness_1.2,5,0.4,0.00625,1.0
whash_db2_L4_8,crop,5,10.4,0.1625,0.8
whash_db2_L4_8,gaussian_noise,5,6.0,0.09375,0.8
whash_db2_L4_8,jpeg_30,5,1.2,0.01875,1.0
whash_db2_L4_8,jpeg_50,5,0.8,0.0125,1.0
whash_db2_L4_8,jpeg_70,5,1.0,0.015625,1.0
whash_db2_L4_8,rotate_+10,5,16.0,0.25,0.6
